Link to details,Interactor 1,Interactor 1 title,Interactor 1 source organism,Interactor 1 sequence length,SCOP family 1,Interactor 2,Interactor 2 title,Interactor 2 source organism,Interactor 2 sequence length,SCOP family 2,Interface type,"Buried surface area, Å2",No. of contacts,No. of members in cluster,pdb_id
16 Details,9y9l_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,9y9l_Z,F-actin-capping protein subunit beta,Homo sapiens,272,,hetero,1019.61,77,1,9y9l
17 Details,9y9l_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,9y9l_c,Cofilin-2,Homo sapiens,166,,hetero,725.76,61,1,9y9l
18 Details,9y9l_Y,F-actin-capping protein subunit alpha-1,Homo sapiens,286,,9y9l_Z,F-actin-capping protein subunit beta,Homo sapiens,272,,hetero,3741.88,311,1,9y9l
19 Details,9y9l_Z,F-actin-capping protein subunit beta,Homo sapiens,272,,9y9l_d,Cofilin-2,Homo sapiens,166,,hetero,285.37,26,1,9y9l
1 Details,9zbp_A,"Actin, alpha cardiac muscle 1",Homo sapiens,377,,9zbp_B,"Actin, alpha cardiac muscle 1",Homo sapiens,377,,homo,409.75,35,1,9zbp
2 Details,9zbp_A,"Actin, alpha cardiac muscle 1",Homo sapiens,377,,9zbp_C,"Actin, alpha cardiac muscle 1",Homo sapiens,377,,homo,1182.51,97,1,9zbp
3 Details,9zbp_B,"Actin, alpha cardiac muscle 1",Homo sapiens,377,,9zbp_C,"Actin, alpha cardiac muscle 1",Homo sapiens,377,,homo,412.41,34,1,9zbp
4 Details,9zbp_B,"Actin, alpha cardiac muscle 1",Homo sapiens,377,,9zbp_D,"Actin, alpha cardiac muscle 1",Homo sapiens,377,,homo,1200.88,101,1,9zbp
5 Details,9zbp_C,"Actin, alpha cardiac muscle 1",Homo sapiens,377,,9zbp_D,"Actin, alpha cardiac muscle 1",Homo sapiens,377,,homo,419.49,35,1,9zbp
6 Details,9zbp_C,"Actin, alpha cardiac muscle 1",Homo sapiens,377,,9zbp_E,"Actin, alpha cardiac muscle 1",Homo sapiens,377,,homo,1183.28,97,1,9zbp
7 Details,9zbp_D,"Actin, alpha cardiac muscle 1",Homo sapiens,377,,9zbp_E,"Actin, alpha cardiac muscle 1",Homo sapiens,377,,homo,421.17,36,1,9zbp
8 Details,9zbp_D,"Actin, alpha cardiac muscle 1",Homo sapiens,377,,9zbp_F,"Actin, alpha cardiac muscle 1",Homo sapiens,377,,homo,1174.3,98,1,9zbp
9 Details,9zbp_E,"Actin, alpha cardiac muscle 1",Homo sapiens,377,,9zbp_F,"Actin, alpha cardiac muscle 1",Homo sapiens,377,,homo,428.71,35,1,9zbp
10 Details,9zbp_M,Tropomyosin alpha-1 chain,Homo sapiens,286,,9zbp_N,Tropomyosin alpha-1 chain,Homo sapiens,286,,homo,2820.53,223,1,9zbp
11 Details,9zbp_O,Tropomyosin alpha-1 chain,Homo sapiens,286,,9zbp_P,Tropomyosin alpha-1 chain,Homo sapiens,286,,homo,2697.38,217,1,9zbp
1 Details,9qfe_A,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfe_B,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,homo,468.55,39,1,9qfe
2 Details,9qfe_A,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfe_C,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,homo,356.78,33,1,9qfe
3 Details,9qfe_A,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfe_H,Cofilin-1,Homo sapiens,166,,hetero,678.48,58,1,9qfe
4 Details,9qfe_A,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfe_I,Cofilin-1,Homo sapiens,166,,hetero,1025.95,88,1,9qfe
5 Details,9qfe_A,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfe_L,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",Homo sapiens,688,,hetero,165.04,15,1,9qfe
6 Details,9qfe_B,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfe_C,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,homo,406.12,35,1,9qfe
7 Details,9qfe_B,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfe_D,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,homo,1113.19,87,1,9qfe
8 Details,9qfe_B,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfe_L,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",Homo sapiens,688,,hetero,764.33,69,1,9qfe
9 Details,9qfe_B,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfe_M,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",Homo sapiens,688,,hetero,670.48,58,1,9qfe
10 Details,9qfe_C,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfe_D,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,homo,396.32,32,1,9qfe
11 Details,9qfe_C,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfe_E,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,homo,343.93,32,1,9qfe
12 Details,9qfe_C,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfe_I,Cofilin-1,Homo sapiens,166,,hetero,690.41,59,1,9qfe
13 Details,9qfe_C,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfe_J,Cofilin-1,Homo sapiens,166,,hetero,967.3,86,1,9qfe
14 Details,9qfe_C,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfe_L,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",Homo sapiens,688,,hetero,326.57,38,1,9qfe
15 Details,9qfe_C,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfe_M,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",Homo sapiens,688,,hetero,207.66,18,1,9qfe
16 Details,9qfe_D,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfe_E,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,homo,404.47,34,1,9qfe
17 Details,9qfe_D,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfe_F,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,homo,1113.15,91,1,9qfe
18 Details,9qfe_D,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfe_M,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",Homo sapiens,688,,hetero,818.91,73,1,9qfe
19 Details,9qfe_D,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfe_N,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",Homo sapiens,688,,hetero,633.23,54,1,9qfe
20 Details,9qfe_E,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfe_F,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,homo,425.89,34,1,9qfe
21 Details,9qfe_E,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfe_G,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,homo,357.38,30,1,9qfe
22 Details,9qfe_E,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfe_J,Cofilin-1,Homo sapiens,166,,hetero,684.96,57,1,9qfe
23 Details,9qfe_E,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfe_K,Cofilin-1,Homo sapiens,166,,hetero,952.37,84,1,9qfe
24 Details,9qfe_E,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfe_M,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",Homo sapiens,688,,hetero,393.87,41,1,9qfe
25 Details,9qfe_E,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfe_N,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",Homo sapiens,688,,hetero,128.35,14,1,9qfe
26 Details,9qfe_F,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfe_G,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,homo,380.46,38,1,9qfe
27 Details,9qfe_F,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfe_N,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",Homo sapiens,688,,hetero,877.26,84,1,9qfe
28 Details,9qfe_G,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfe_K,Cofilin-1,Homo sapiens,166,,hetero,677.34,57,1,9qfe
29 Details,9qfe_G,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfe_N,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",Homo sapiens,688,,hetero,370.58,44,1,9qfe
1 Details,7aln_A,Actin-1,Plasmodium falciparum 3D7,376,,7aln_B,Actin-1,Plasmodium falciparum 3D7,376,,homo,1162.88,102,1,7aln
2 Details,7aln_A,Actin-1,Plasmodium falciparum 3D7,376,,7aln_C,Actin-1,Plasmodium falciparum 3D7,376,,homo,1159.35,101,1,7aln
3 Details,7aln_A,Actin-1,Plasmodium falciparum 3D7,376,,7aln_D,Actin-1,Plasmodium falciparum 3D7,376,,homo,486.37,46,1,7aln
4 Details,7aln_A,Actin-1,Plasmodium falciparum 3D7,376,,7aln_E,Actin-1,Plasmodium falciparum 3D7,376,,homo,512.96,46,1,7aln
5 Details,7aln_A,Actin-1,Plasmodium falciparum 3D7,376,,7aln_F,Myosin-A,Plasmodium falciparum 3D7,818,,hetero,1138.13,105,1,7aln
6 Details,7aln_B,Actin-1,Plasmodium falciparum 3D7,376,,7aln_D,Actin-1,Plasmodium falciparum 3D7,376,,homo,492.17,44,1,7aln
7 Details,7aln_C,Actin-1,Plasmodium falciparum 3D7,376,,7aln_E,Actin-1,Plasmodium falciparum 3D7,376,,homo,520.29,47,1,7aln
8 Details,7aln_C,Actin-1,Plasmodium falciparum 3D7,376,,7aln_F,Myosin-A,Plasmodium falciparum 3D7,818,,hetero,448.19,38,1,7aln
9 Details,7aln_D,Actin-1,Plasmodium falciparum 3D7,376,,7aln_E,Actin-1,Plasmodium falciparum 3D7,376,,homo,1152.22,102,1,7aln
1 Details,8a2z_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,8a2z_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,1049.06,85,1,8a2z
2 Details,8a2z_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,8a2z_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,425.24,34,1,8a2z
3 Details,8a2z_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,8a2z_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,413.68,33,1,8a2z
4 Details,8a2z_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,8a2z_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,1059.36,86,1,8a2z
5 Details,8a2z_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,8a2z_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,435.97,34,1,8a2z
6 Details,8a2z_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,8a2z_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,1055.18,86,1,8a2z
7 Details,8a2z_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,8a2z_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,406.27,33,1,8a2z
1 Details,9y9j_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,9y9j_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,homo,188.8,16,1,9y9j
2 Details,9y9j_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,9y9j_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,homo,380.87,31,1,9y9j
3 Details,9y9j_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,9y9j_W,Adenylyl cyclase-associated protein 1,Homo sapiens,475,,hetero,966.95,79,1,9y9j
4 Details,9y9j_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,9y9j_X,Adenylyl cyclase-associated protein 1,Homo sapiens,475,,hetero,156.05,12,1,9y9j
5 Details,9y9j_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,9y9j_a,Cofilin-2,Homo sapiens,166,,hetero,1081.47,93,1,9y9j
6 Details,9y9j_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,9y9j_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,homo,299.97,23,1,9y9j
7 Details,9y9j_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,9y9j_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,homo,404.92,34,1,9y9j
8 Details,9y9j_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,9y9j_X,Adenylyl cyclase-associated protein 1,Homo sapiens,475,,hetero,911.67,76,1,9y9j
9 Details,9y9j_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,9y9j_b,Cofilin-2,Homo sapiens,166,,hetero,1080.05,90,1,9y9j
10 Details,9y9j_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,9y9j_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,homo,358.63,29,1,9y9j
11 Details,9y9j_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,9y9j_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,homo,408.6,35,1,9y9j
12 Details,9y9j_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,9y9j_a,Cofilin-2,Homo sapiens,166,,hetero,659.62,56,1,9y9j
13 Details,9y9j_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,9y9j_c,Cofilin-2,Homo sapiens,166,,hetero,1075.52,91,1,9y9j
14 Details,9y9j_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,9y9j_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,homo,341.23,28,1,9y9j
15 Details,9y9j_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,9y9j_b,Cofilin-2,Homo sapiens,166,,hetero,688.83,58,1,9y9j
16 Details,9y9j_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,9y9j_d,Cofilin-2,Homo sapiens,166,,hetero,1092.66,92,1,9y9j
17 Details,9y9j_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,9y9j_c,Cofilin-2,Homo sapiens,166,,hetero,678.11,59,1,9y9j
18 Details,9y9j_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,9y9j_e,Cofilin-2,Homo sapiens,166,,hetero,1091.07,93,1,9y9j
1 Details,7r94_C,"Actin, alpha skeletal muscle",Gallus gallus,377,,7r94_B,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,386.81,30,1,7r94
2 Details,7r94_C,"Actin, alpha skeletal muscle",Gallus gallus,377,,7r94_A,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,1143.36,92,1,7r94
3 Details,7r94_C,"Actin, alpha skeletal muscle",Gallus gallus,377,,7r94_D,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,385.9,32,1,7r94
4 Details,7r94_C,"Actin, alpha skeletal muscle",Gallus gallus,377,,7r94_E,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,1141.43,93,1,7r94
5 Details,7r94_C,"Actin, alpha skeletal muscle",Gallus gallus,377,,7r94_F,Plastin-3,Homo sapiens,630,,hetero,371.46,34,1,7r94
6 Details,7r94_C,"Actin, alpha skeletal muscle",Gallus gallus,377,,7r94_G,Plastin-3,Homo sapiens,630,,hetero,832.87,76,1,7r94
7 Details,7r94_B,"Actin, alpha skeletal muscle",Gallus gallus,377,,7r94_A,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,399.45,33,1,7r94
8 Details,7r94_B,"Actin, alpha skeletal muscle",Gallus gallus,377,,7r94_D,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,1136.44,90,1,7r94
9 Details,7r94_B,"Actin, alpha skeletal muscle",Gallus gallus,377,,7r94_H,Plastin-3,Homo sapiens,630,,hetero,843.4,73,1,7r94
10 Details,7r94_A,"Actin, alpha skeletal muscle",Gallus gallus,377,,7r94_F,Plastin-3,Homo sapiens,630,,hetero,812.52,71,1,7r94
11 Details,7r94_D,"Actin, alpha skeletal muscle",Gallus gallus,377,,7r94_E,"Actin, alpha skeletal muscle",Gallus gallus,377,,homo,392.05,30,1,7r94
12 Details,7r94_D,"Actin, alpha skeletal muscle",Gallus gallus,377,,7r94_H,Plastin-3,Homo sapiens,630,,hetero,371.53,34,1,7r94
13 Details,7r94_E,"Actin, alpha skeletal muscle",Gallus gallus,377,,7r94_G,Plastin-3,Homo sapiens,630,,hetero,367.28,30,1,7r94
1 Details,8a2y_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,8a2y_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,1127.65,90,1,8a2y
2 Details,8a2y_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,8a2y_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,415.56,41,1,8a2y
3 Details,8a2y_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,8a2y_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,396.07,40,1,8a2y
4 Details,8a2y_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,8a2y_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,1140.7,91,1,8a2y
5 Details,8a2y_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,8a2y_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,417.29,41,1,8a2y
6 Details,8a2y_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,8a2y_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,1121.47,90,1,8a2y
7 Details,8a2y_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,8a2y_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,375,,homo,380.73,38,1,8a2y
1 Details,9qfd_A,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfd_B,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,homo,383.96,35,1,9qfd
2 Details,9qfd_A,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfd_C,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,homo,342.18,32,1,9qfd
3 Details,9qfd_A,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfd_H,Cofilin-1,Homo sapiens,166,,hetero,689.77,61,1,9qfd
4 Details,9qfd_A,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfd_J,Cofilin-1,Homo sapiens,166,,hetero,1015.44,94,1,9qfd
5 Details,9qfd_B,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfd_C,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,homo,383.77,34,1,9qfd
6 Details,9qfd_B,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfd_D,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,homo,339.41,31,1,9qfd
7 Details,9qfd_B,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfd_I,Cofilin-1,Homo sapiens,166,,hetero,685.55,58,1,9qfd
8 Details,9qfd_B,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfd_K,Cofilin-1,Homo sapiens,166,,hetero,1017.35,90,1,9qfd
9 Details,9qfd_C,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfd_D,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,homo,389.48,34,1,9qfd
10 Details,9qfd_C,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfd_E,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,homo,340.58,32,1,9qfd
11 Details,9qfd_C,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfd_J,Cofilin-1,Homo sapiens,166,,hetero,699.66,58,1,9qfd
12 Details,9qfd_C,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfd_L,Cofilin-1,Homo sapiens,166,,hetero,1038.97,94,1,9qfd
13 Details,9qfd_D,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfd_E,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,homo,389.0,35,1,9qfd
14 Details,9qfd_D,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfd_F,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,homo,343.38,31,1,9qfd
15 Details,9qfd_D,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfd_K,Cofilin-1,Homo sapiens,166,,hetero,706.32,59,1,9qfd
16 Details,9qfd_D,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfd_M,Cofilin-1,Homo sapiens,166,,hetero,1019.34,94,1,9qfd
17 Details,9qfd_E,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfd_F,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,homo,400.78,37,1,9qfd
18 Details,9qfd_E,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfd_G,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,homo,343.39,34,1,9qfd
19 Details,9qfd_E,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfd_L,Cofilin-1,Homo sapiens,166,,hetero,696.41,58,1,9qfd
20 Details,9qfd_E,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfd_N,Cofilin-1,Homo sapiens,166,,hetero,1029.23,94,1,9qfd
21 Details,9qfd_F,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfd_G,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,homo,392.56,35,1,9qfd
22 Details,9qfd_F,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfd_M,Cofilin-1,Homo sapiens,166,,hetero,699.57,57,1,9qfd
23 Details,9qfd_G,"Actin, cytoplasmic 1, N-terminally processed",Homo sapiens,374,,9qfd_N,Cofilin-1,Homo sapiens,166,,hetero,694.11,59,1,9qfd
1 Details,9yim_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,371,,9yim_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,371,,homo,468.13,39,1,9yim
2 Details,9yim_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,371,,9yim_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,371,,homo,1221.25,100,1,9yim
3 Details,9yim_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,371,,9yim_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,371,,homo,464.97,38,1,9yim
4 Details,9yim_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,371,,9yim_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,371,,homo,1232.37,98,1,9yim
5 Details,9yim_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,371,,9yim_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,371,,homo,414.09,35,1,9yim
6 Details,9yim_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,371,,9yim_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,371,,homo,1205.63,98,1,9yim
7 Details,9yim_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,371,,9yim_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,371,,homo,444.26,36,1,9yim
8 Details,9yim_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,371,,9yim_Y,F-actin-capping protein subunit alpha-1,Homo sapiens,278,,hetero,983.89,74,1,9yim
9 Details,9yim_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,371,,9yim_Z,F-actin-capping protein subunit beta,Homo sapiens,270,,hetero,130.58,9,1,9yim
10 Details,9yim_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,371,,9yim_Y,F-actin-capping protein subunit alpha-1,Homo sapiens,278,,hetero,363.54,33,1,9yim
11 Details,9yim_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,371,,9yim_Z,F-actin-capping protein subunit beta,Homo sapiens,270,,hetero,1076.32,83,1,9yim
12 Details,9yim_Y,F-actin-capping protein subunit alpha-1,Homo sapiens,278,,9yim_Z,F-actin-capping protein subunit beta,Homo sapiens,270,,hetero,3833.51,308,1,9yim
1 Details,9y52_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,9y52_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,homo,486.15,45,1,9y52
2 Details,9y52_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,9y52_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,homo,418.71,38,1,9y52
3 Details,9y52_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,9y52_W,Adenylyl cyclase-associated protein 1,Homo sapiens,475,,hetero,934.03,76,1,9y52
4 Details,9y52_A,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,9y52_a,Cofilin-2,Homo sapiens,166,,hetero,1143.11,98,1,9y52
5 Details,9y52_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,9y52_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,homo,369.96,33,1,9y52
6 Details,9y52_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,9y52_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,homo,426.09,36,1,9y52
7 Details,9y52_B,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,9y52_b,Cofilin-2,Homo sapiens,166,,hetero,1134.29,97,1,9y52
8 Details,9y52_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,9y52_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,homo,367.65,30,1,9y52
9 Details,9y52_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,9y52_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,homo,426.2,39,1,9y52
10 Details,9y52_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,9y52_a,Cofilin-2,Homo sapiens,166,,hetero,705.02,58,1,9y52
11 Details,9y52_C,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,9y52_c,Cofilin-2,Homo sapiens,166,,hetero,1112.48,96,1,9y52
12 Details,9y52_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,9y52_E,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,homo,392.61,31,1,9y52
13 Details,9y52_D,"Actin, alpha skeletal muscle",Oryctolagus cuniculus,376,,9y52_b,Cofilin-2,Homo sapiens,166,,hetero,730.83,61,1,9y52
